OBJECTID,PROJECT_NAME,STATION_NAME,ACTIVITY_NO,ACTIVITY_END_DATE,ECOREGION_NAME,HUC_CD,WATERBODY_NAME,LATITUDE_MEASURE,LONGITUDE_MEASURE,UTM_EAST,UTM_NORTH,STATION_DESC,STATION_ALT_NAME,FIX_STA_NAME,STATION_TYPE_NAME,COUNTY_NAME,HUC_LEVEL,HUC_NAME,ECOREGION_CD,SUBSTANCE_NAME,ANALYTICAL_METHOD_NAME,CAS_QUALIFIER_NAME,LAB_RESULT,LAB_RESULT_TEXT,LAB_REPORT_LIMIT,REPORT_UNIT,LAB_DILUTION_MULTIPLIER,QA_FLAGS
1,2011 Fixed Station Monitoring,GMW070-0006,AB02437,1/26/2011 11:15:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Total (TS)",SM2540B,Total,514.000000000000000,514,10.000000000000000,mg/L,1.000000000000000,
2,2011 Fixed Station Monitoring,GMW070-0006,AB02437,1/26/2011 11:15:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Suspended Total, (TSS)",SM2540D,Total,-1.000000000000000,<4,4.000000000000000,mg/L,1.000000000000000,
3,2011 Fixed Station Monitoring,GMW070-0006,AB02437,1/26/2011 11:15:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Total Dissolved (TDS)",SM2540C,Dissolved,478.000000000000000,478,10.000000000000000,mg/L,1.000000000000000,
4,2011 Fixed Station Monitoring,GMW070-0006,AB02437,1/26/2011 11:15:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Nitrogen, Ammonia",350.1,Total,-1.000000000000000,<.1,0.100000000000000,mg/L,1.000000000000000,Q
5,2011 Fixed Station Monitoring,GMW070-0006,AB02437,1/26/2011 11:15:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,TKN,351.2,Total,0.400000000000000,.4,0.300000000000000,mg/L,1.000000000000000,
6,2011 Fixed Station Monitoring,GMW070-0006,AB02437,1/26/2011 11:15:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Nitrogen, Nitrate+Nitrite",353.1,Total,3.700000000000000,3.7,0.100000000000000,mg/L,1.000000000000000,
7,2011 Fixed Station Monitoring,GMW070-0006,AB02437,1/26/2011 11:15:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Phosphorus, Total",365.1,Total,-1.000000000000000,<.03,0.030000000000000,mg/L,1.000000000000000,
8,2011 Fixed Station Monitoring,GMW070-0006,AB02641,2/23/2011 11:30:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Total (TS)",SM2540B,Total,385.000000000000000,385,10.000000000000000,mg/L,1.000000000000000,
9,2011 Fixed Station Monitoring,GMW070-0006,AB02641,2/23/2011 11:30:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Suspended Total, (TSS)",SM2540D,Total,26.000000000000000,26,4.000000000000000,mg/L,1.000000000000000,
10,2011 Fixed Station Monitoring,GMW070-0006,AB02641,2/23/2011 11:30:00,Eastern Corn Belt Plains,'050800030710',East Fork Whitewater River,39.733195113496102,-84.959363444915795,"674,871.000000000000000","4,400,136.200000000200000","Potter Shop Rd bridge, East edge of Abington",Potter Shop Rd,WHE-27,River,Wayne,12,Clay Creek-East Fork Whitewater River,55,"Solids, Total Dissolved (TDS)",SM2540C,Dissolved,334.000000000000000,334,10.000000000000000,mg/L,1.000000000000000,
